Product,Type,Release Date,Transistors (million)
Intel Atom S1260,CPU,2012-12-11,
Intel Pentium Gold G5500,CPU,2018-04-02,
AMD Opteron 6380,CPU,2012-11-05,2400
AMD Athlon II X4 630,CPU,2009-09-16,300
AMD Athlon 64 X2 4200+,CPU,2006-12-01,154
Intel Atom E3815,CPU,2013-10-08,
Intel Mobile Pentium 4 HT 548,CPU,2004-09-28,125
Intel Pentium 4 2.4,CPU,2002-04-02,55
AMD Athlon II X3 420e,CPU,2010-09-21,300
Intel Core i5-750s,CPU,2010-01-07,774
AMD Phenom II X4 650T,CPU,2011-07-01,904
Intel Core i3-3240T,CPU,2012-09-03,
Intel Pentium 3556U,CPU,2013-09-01,1400
AMD Athlon X2 4850e,CPU,2008-03-05,154
Intel Core i3-2130,CPU,2011-09-04,504
Intel Celeron G1820,CPU,2013-12-01,1400
Intel Core i5-5200U,CPU,2015-03-01,
Intel Core i9-9900X,CPU,2018-10-19,
AMD Opteron 244,CPU,2003-04-22,106
Intel Xeon E5-2643 v2,CPU,2013-09-01,1400
Intel Celeron 2955U,CPU,2013-09-01,1400
AMD Phenom II X4 905e,CPU,2009-06-02,758
Intel Atom Z520,CPU,2008-04-02,47
AMD Athlon XP 2400+,CPU,2003-09-01,63
AMD Sempron 2600+,CPU,2004-07-28,37
Intel Pentium III 1133,CPU,2000-07-31,44
Intel Core i3-2120,CPU,2011-02-20,504
Intel Xeon 3.6,CPU,2005-02-14,178
Intel Celeron G550,CPU,2012-06-01,504
Intel Xeon E7-4809 v3,CPU,2015-06-01,1400
Intel Xeon E7-4820 v3,CPU,2015-06-01,1400
Intel Core i7-4710HQ,CPU,2014-04-01,1400
AMD Sempron 3200+,CPU,2006-05-23,81
AMD Athlon II X3 435,CPU,2009-10-09,300
Intel Xeon E3-1225 v2,CPU,2012-05-14,1400
Intel Core i7-6900K,CPU,2016-05-31,
Intel Core i5-11400,CPU,2021-03-16,
Intel Pentium 4 HT 670,CPU,2005-05-26,169
AMD FX-6100,CPU,2011-10-12,1200
AMD Athlon 64 X2 3600+,CPU,2001-01-01,154
Intel Xeon 5060,CPU,2006-05-23,
AMD Mobile Athlon 64 2700+,CPU,2005-08-01,106
Intel Xeon E5-2650L v2,CPU,2013-09-01,1400
Intel Core i5-661,CPU,2010-01-07,382
AMD Athlon 64 3800+,CPU,2005-04-04,69
Intel Celeron N2920,CPU,2013-12-01,
AMD FX-4100,CPU,2011-10-12,1200
Intel Core i3-8121U,CPU,2018-05-05,
Intel Pentium G6951,CPU,2010-09-01,382
AMD Sempron 2300+,CPU,2001-01-01,63
AMD FX-6130,CPU,2012-10-23,1200
AMD Phenom II X4 B93,CPU,2009-10-01,758
AMD Opteron 242,CPU,2003-04-22,106
AMD Ryzen Threadripper 3980X,CPU,2019-11-14,3800
Intel Core 2 Duo E4700,CPU,2008-03-02,167
Intel Core i3-2332M,CPU,2011-09-01,624
Intel Core i7-870,CPU,2009-09-08,774
AMD A6-1450,CPU,2013-05-23,1178
Intel Pentium D 960,CPU,2006-05-02,376
Intel Core i7-10700,CPU,2020-04-30,
AMD Opteron 842,CPU,2003-06-30,106
Intel Core Solo T1400,CPU,2006-01-05,151
AMD Athlon 64 4000+,CPU,2001-01-01,233
AMD A4-3305M,CPU,2011-06-14,1178
AMD Ryzen 5 2600E,CPU,2018-09-19,4800
Intel Core i9-9880H,CPU,2019-04-23,
Intel Core i7-4558U,CPU,2013-06-04,1300
Intel Core i7-3940XM,CPU,2012-09-03,1400
AMD Opteron 250 HE,CPU,2005-03-01,106
Intel Xeon W3503,CPU,2009-03-30,731
AMD Athlon 64 3000+,CPU,2001-01-01,69
Intel Core i9-9900K,CPU,2018-10-19,
Intel Pentium 4 HT EE 3.40,CPU,2004-06-21,178
Intel Xeon Silver 4116,CPU,2017-07-11,8000
AMD Phenom X3 8450,CPU,2008-04-23,450
Intel Core i3-530,CPU,2010-01-07,382
AMD Athlon II X4 641,CPU,2012-02-06,1178
AMD Sempron 3400+,CPU,2005-10-01,63
AMD Ryzen 7 5700G,CPU,2021-04-13,
Intel Xeon Silver 4309Y,CPU,2021-04-06,
Intel Core i7-4550U,CPU,2013-06-04,1300
AMD Opteron 144,CPU,2003-09-09,106
Intel Core i5-2415M,CPU,2011-09-01,624
Intel Core i3-8100T,CPU,2018-04-02,
AMD Mobile Athlon 64 2800+,CPU,2004-08-01,106
Intel Pentium III 1333,CPU,2001-12-01,44
Intel Xeon W3680,CPU,2010-03-16,1170
Intel Core i5-11600K,CPU,2021-03-16,
AMD EPYC 7543,CPU,2021-03-15,
AMD Phenom II X4 960T BE,CPU,2010-06-01,904
Intel Core i9-11900KF,CPU,2021-03-16,
AMD Ryzen 7 5800H,CPU,2021-01-12,9800
AMD Opteron X2 280,CPU,2005-09-26,233
AMD Athlon 1133,CPU,2000-10-31,37
Intel Pentium 4 HT 520,CPU,2004-06-21,125
AMD FX-8370,CPU,2014-09-02,1200
AMD Ryzen 7 3700U,CPU,2019-01-06,4940
Intel Core i7-6800K,CPU,2016-05-31,
Intel Core i5-7400T,CPU,2017-01-03,
AMD Phenom II X2 545,CPU,2009-06-01,758
Intel Core 2 Quad Q6700,CPU,2007-04-20,582
Intel Core i7-4870HQ,CPU,2014-07-01,1400
AMD Athlon 600,CPU,2000-06-05,37
AMD Athlon II X2 235e,CPU,2009-10-20,410
Intel Pentium M 735,CPU,2004-05-10,140
AMD Athlon 64 X2 5800+,CPU,2008-04-01,154
AMD Athlon XP 2000+,CPU,2003-09-01,63
Intel Core i5-680,CPU,2010-04-19,382
Intel Pentium 4 506,CPU,2005-06-01,125
Intel Core 2 Quad Q9650,CPU,2008-08-10,820
Intel Core i5-460M,CPU,2010-09-26,382
Intel Xeon E3-1260L,CPU,2011-04-03,1160
Intel Pentium E6700,CPU,2010-05-30,228
AMD Athlon 64 X2 4400+,CPU,2006-05-23,154
Intel Xeon Phi 7210,CPU,2016-06-20,8000
Intel Pentium G645,CPU,2012-09-02,504
Intel Core 2 Solo ULV U2200,CPU,2007-09-01,291
Intel Core i3-4330,CPU,2013-09-01,1400
AMD Phenom II 42 TWKR Black Edition,CPU,2009-06-01,758
AMD Phenom II X4 925,CPU,2009-05-11,758
AMD Ryzen 7 PRO 2700,CPU,2018-09-19,4800
Intel Celeron N2910,CPU,2013-09-11,
AMD EPYC 7F32,CPU,2020-04-14,3800
Intel Core 2 Extreme QX9775,CPU,2008-03-24,820
AMD Athlon 64 3500+ (F3),CPU,2007-02-20,154
Intel Xeon 7140N,CPU,2006-08-27,1328
Intel Core 2 Duo E6700,CPU,2006-07-27,291
Intel Pentium 4 HT EE 3.20,CPU,2003-11-03,178
Intel Pentium E6800,CPU,2010-08-29,228
Intel Xeon Platinum 8180,CPU,2017-07-11,8000
AMD Athlon II X2 265,CPU,2010-09-21,410
AMD Phenom X4 9500,CPU,2007-11-19,450
AMD Turion 64 MT-28,CPU,2005-06-22,114
Intel Xeon W3550,CPU,2009-08-09,731
Intel Celeron 725C,CPU,2011-07-01,504
AMD EPYC 7251,CPU,2017-06-29,4800
AMD Ryzen 9 4900HS,CPU,2020-03-07,9800
AMD A10-4655M,CPU,2012-05-15,1178
Intel Atom Z510,CPU,2008-04-02,47
AMD FX-4130,CPU,2013-01-30,1200
Intel Xeon E3-1265L v2,CPU,2012-05-14,1400
Intel Celeron G1820TE,CPU,2013-12-01,1400
Intel Pentium E5400,CPU,2009-01-18,228
AMD Athlon XP 2500+ DTR,CPU,2003-02-10,63
AMD A10-5800K,CPU,2012-10-02,1178
Intel Xeon Gold 5317,CPU,2021-04-06,
AMD Athlon II X4 631,CPU,2011-08-17,1178
AMD Opteron 846,CPU,2004-12-01,106
AMD Athlon 64 X2 3800+,CPU,2005-08-01,154
AMD Opteron 848,CPU,2003-11-17,106
Intel Core i7-2670QM,CPU,2011-10-12,1160
AMD Phenom II X6 1035T,CPU,2010-04-27,904
Intel Xeon Platinum 8354H,CPU,2021-04-06,
AMD Sempron 3400+,CPU,2005-08-01,63
AMD Athlon 64 3500+ EE,CPU,2007-02-20,154
AMD Ryzen 5 PRO 1600,CPU,2017-06-29,4800
AMD Athlon 64 3200+,CPU,2004-04-27,69
Intel Xeon Platinum 8280,CPU,2018-12-11,8000
Intel Xeon Gold 6346,CPU,2021-04-06,
Intel Pentium G4620,CPU,2017-01-03,
AMD Athlon 64 2800+,CPU,2004-04-27,69
AMD Ryzen 7 3800XT,CPU,2020-07-07,3800
Intel Pentium 957,CPU,2011-06-19,504
AMD Turion 64 MT-40,CPU,2005-08-08,114
Intel Xeon X5667,CPU,2010-03-16,1170
Intel Celeron 807,CPU,2012-07-01,504
AMD Phenom X4 9950 BE (125W),CPU,2008-10-01,450
AMD Athlon II X3 425e,CPU,2011-05-03,300
AMD Athlon XP-M 2400+,CPU,2001-01-01,63
Intel Xeon W3570,CPU,2009-03-30,731
Intel Celeron E1400,CPU,2008-04-20,105
Intel Xeon E5640,CPU,2010-03-16,1170
AMD A4-3310MX,CPU,2011-06-14,1178
AMD Ryzen 3 4300U,CPU,2020-01-06,9800
Intel Core i7-7800X,CPU,2017-06-26,
Intel Celeron D 346,CPU,2004-10-01,125
AMD Sempron 3000+ EE SFF,CPU,2006-05-23,81
Intel Core i7-10700KF,CPU,2020-04-30,
AMD Athlon 64 LE-1640B,CPU,2008-04-28,122
AMD Opteron 248,CPU,2004-05-18,106
Intel Pentium B950,CPU,2011-06-19,504
AMD Athlon II X4 615e,CPU,2010-09-21,300
Intel Mobile Pentium 4 HT 2.80,CPU,2003-09-23,55
Intel Core i7-640M,CPU,2010-09-01,384
Intel Xeon X5677,CPU,2010-03-16,1170
Intel Core i3-4370,CPU,2014-07-01,1400
Intel Core i3-7360X,CPU,2017-10-03,
AMD Athlon XP 2200+,CPU,2001-01-01,37
AMD A6-9500,CPU,2017-07-27,1178
AMD Athlon 64 FX-53,CPU,2004-03-18,105
AMD Ryzen 7 PRO 4750GE,CPU,2020-07-21,
Intel Core i5-3317U,CPU,2012-06-01,
Intel Core i5-4590S,CPU,2014-05-01,1400
Intel Core i3-9100,CPU,2018-09-01,
AMD Athlon 64 3800+,CPU,2004-06-01,106
AMD Opteron 6272,CPU,2011-11-14,2400
Intel Core i7-5930K,CPU,2014-09-01,2600
AMD Turion 64 ML-28,CPU,2005-06-22,114
Intel Core i3-4000M,CPU,2013-09-04,1400
Intel Core i7-10850H,CPU,2020-04-02,
Intel Core i5-1030G4,CPU,2019-08-01,
Intel Pentium 4-M 2.60,CPU,2003-06-11,55
Intel Celeron 430,CPU,2007-06-03,105
Intel Xeon Platinum 8360Y,CPU,2021-04-06,
Intel Core i5-3570S,CPU,2012-06-01,
AMD Opteron 240,CPU,2003-08-05,106
Intel Core i7-2760QM,CPU,2011-09-04,1160
Intel Xeon MP 3.16,CPU,2005-03-29,
Intel Pentium Dual-Core E2200,CPU,2007-12-02,105
Intel Atom E625C,CPU,2010-11-22,47
Intel Celeron G1610T,CPU,2012-12-03,
Intel Core i5-4330M,CPU,2013-09-01,1400
Intel Core i5-7300HQ,CPU,2017-01-03,
Intel Celeron G1610,CPU,2012-12-03,
Intel Mobile Pentium 4 HT 3.06,CPU,2003-09-23,55
AMD A6-5357M,CPU,2013-06-01,1178
Intel Xeon L5518,CPU,2009-03-30,731
Intel Xeon E5645,CPU,2010-03-16,1170
AMD A6-9500E,CPU,2017-07-27,1178
Intel Core Duo ULV L2400,CPU,2006-09-03,151
Intel Core Duo T2500,CPU,2006-01-05,151
Intel Xeon E7-8890 v3,CPU,2015-06-01,1400
AMD Athlon X2 QL-67,CPU,2008-12-01,
Intel Pentium 4 2.60,CPU,2002-08-25,55
Intel Xeon E3-1285 v6,CPU,2017-08-01,1400
AMD Sempron 2400+,CPU,2001-01-01,63
AMD Ryzen 7 1700,CPU,2017-03-02,4800
AMD Athlon 64 3000+,CPU,2004-04-27,69
Intel Core i7-3960X,CPU,2011-11-14,2270
AMD Phenom II X6 1045T,CPU,2010-09-01,904
AMD A8-4500M,CPU,2012-05-15,1178
Intel Xeon E5-2660 v2,CPU,2013-09-01,1400
Intel Pentium 4 HT 3.00,CPU,2003-04-14,55
AMD Athlon 64 FX-60,CPU,2006-01-09,233
Intel Core i5-11400T,CPU,2021-03-16,
AMD Athlon XP 3100+,CPU,2003-12-01,63
AMD Sempron 3600+,CPU,2006-05-17,69
Intel Core i5-10500,CPU,2020-04-30,
AMD Ryzen 3 PRO 1200,CPU,2017-06-29,4800
Intel Xeon Gold 6326,CPU,2021-04-06,
AMD EPYC Embedded 3251,CPU,2018-02-21,4800
Intel Xeon 3.6,CPU,2004-06-28,155
Intel Atom Z2760,CPU,2012-09-27,140
AMD Sempron 3400+,CPU,2006-05-17,69
Intel Pentium G3258,CPU,2014-06-02,1400
AMD Opteron 856,CPU,2006-04-01,106
AMD A10-5745M,CPU,2013-06-01,1178
Intel Core i5-560M,CPU,2010-09-26,382
Intel Pentium 4-M 2.20,CPU,2002-09-16,55
Intel Core i5-430M,CPU,2010-01-07,382
AMD Ryzen Threadripper 2920X,CPU,2018-10-03,19200
Intel Core i5-8650K,CPU,2018-09-01,
Intel Pentium 4 HT 540,CPU,2004-06-21,125
Intel Core i7-8565U,CPU,2018-10-01,
Intel Atom CE4100,CPU,2009-09-24,47
Intel Core i9-7940X,CPU,2017-09-01,
Intel Pentium Gold G6600,CPU,2020-04-30,
Intel Core i9-9900KS,CPU,2019-10-28,
Intel Atom Z3770,CPU,2013-09-27,
AMD Opteron X2 865 HE,CPU,2005-08-01,233
Intel Core i7-980,CPU,2011-06-26,1170
Intel Xeon Gold 6154,CPU,2017-07-11,8000
AMD Ryzen 3 2300X,CPU,2018-08-01,4950
Intel Pentium G3250,CPU,2014-07-21,1400
Intel Atom Z500,CPU,2008-04-02,47
Intel Celeron E3300,CPU,2009-08-30,228
AMD Athlon 64 X2 4800+,CPU,2006-05-23,154
AMD Athlon 64 3200+,CPU,2005-05-31,154
AMD A10-7890K,CPU,2016-01-11,1178
AMD A10-5757M,CPU,2013-06-01,1178
AMD Sempron X2 2100,CPU,2008-03-01,221
Intel Xeon MP 3.00,CPU,2005-03-29,
Intel Core i7-9850HL,CPU,NaT,
Intel Core i7-860S,CPU,2010-01-07,774
Intel Pentium 4 HT 3.40,CPU,2004-02-02,55
Intel Celeron 2.60,CPU,2003-06-25,55
AMD Athlon 64 3500+,CPU,2006-05-23,154
Intel Pentium 4 HT 630,CPU,2005-02-20,169
Intel Celeron 445,CPU,2008-05-01,105
AMD Turion X2 RM-70,CPU,2006-06-01,
AMD Opteron 146 HE,CPU,2004-02-14,106
Intel Core i3-4160,CPU,2014-07-21,1400
Intel Core i7-4790,CPU,2014-05-01,1400
Intel Core i5-3330,CPU,2012-09-03,
AMD Sempron 2500+,CPU,2001-01-01,63
Intel Core i7-7700,CPU,2017-01-03,
Intel Core Duo T2700,CPU,2006-06-28,151
Intel Core Solo ULV U1400,CPU,2006-04-19,151
AMD Athlon 64 3500+,CPU,2004-06-01,69
AMD Ryzen 5 2400G,CPU,2018-02-12,4950
AMD Ryzen 3 3250U,CPU,2020-01-06,4940
AMD Athlon II X2 260u,CPU,2009-10-20,410
Intel Xeon Phi 7230F,CPU,2016-06-20,8000
Intel Xeon 2.8,CPU,2002-09-11,55
Intel Pentium 4 HT 3.2E,CPU,2004-02-01,125
AMD Athlon XP 2400+,CPU,2002-08-21,37
Intel Core 2 Duo E6320,CPU,2007-04-01,291
AMD Phenom II X2 550 BE,CPU,2009-06-01,758
Intel Celeron G1850,CPU,2014-05-01,1400
Intel Pentium G622,CPU,2011-05-22,504
Intel Core i3-9000,CPU,2018-09-01,
AMD Athlon 64 FX-70,CPU,2006-11-30,227
Intel Atom 230,CPU,2008-06-03,47
AMD Ryzen 5 3600,CPU,2019-07-07,3800
Intel Pentium 4 HT 2.60,CPU,2003-05-21,55
AMD Ryzen 5 3580U,CPU,2019-10-22,4940
Intel Core i5-11500,CPU,2021-03-16,
Intel Core i7-8706G,CPU,2018-02-01,
Intel Core i7-4960HQ,CPU,2013-09-01,1400
AMD Mobile Athlon 64 3000+,CPU,2004-08-01,106
Intel Pentium 4 1.5,CPU,2000-11-20,42
AMD Ryzen Embedded V1202B,CPU,2018-02-21,4950
Intel Core i7-870S,CPU,2010-07-19,774
Intel Xeon X5560,CPU,2009-03-30,731
Intel Pentium 4 2.0,CPU,2001-08-27,42
AMD Turion X2 Ultra ZM-80,CPU,2008-06-01,
AMD Athlon 64 X2 4600+,CPU,2006-05-23,154
Intel Core 2 Extreme X6800,CPU,2006-07-27,291
AMD Opteron X2 170,CPU,2005-08-02,233
Intel Xeon 5040,CPU,2006-05-23,
Intel Xeon Phi 7250,CPU,2016-06-20,8000
Intel Xeon Gold 6328HL,CPU,2021-04-06,
Intel Celeron D 330,CPU,2004-06-24,125
Intel Core M-5Y10,CPU,2014-09-05,
AMD Ryzen 5 4600GE,CPU,2020-07-21,
Intel Core i7-1185G7,CPU,2020-09-02,
Intel Core i9-7900X,CPU,2017-06-26,
Intel Xeon 3.20,CPU,2004-02-01,286
Intel Celeron 2950M,CPU,2013-09-01,1400
Intel Core i9-10900,CPU,2020-04-30,
Intel Core M-5Y71,CPU,2014-10-27,
Intel Xeon W-3175X,CPU,2018-12-19,8000
AMD Turion X2 Ultra ZM-85,CPU,2008-09-01,
AMD Ryzen 3 2200G,CPU,2018-02-12,4950
AMD Phenom II X4 945 (95W),CPU,2009-07-22,758
AMD EPYC 7F52,CPU,2020-04-14,3800
Intel Mobile Pentium 4 HT 518,CPU,2004-06-01,125
Intel Core i7-1065G7,CPU,2019-08-01,
AMD Athlon 64 2850e,CPU,2008-08-01,122
Intel Core i7-6700,CPU,2015-07-01,
AMD Athlon 64 X2 4800+,CPU,2006-12-05,154
Intel Xeon 5080,CPU,2006-05-23,
Intel Celeron G465,CPU,2012-09-01,504
Intel Core i5-2405S,CPU,2011-05-22,1160
Intel Pentium III 1000S,CPU,2001-06-01,44
Intel Pentium B960,CPU,2011-10-02,504
AMD Opteron 240,CPU,2004-05-18,106
AMD Athlon 64 X2 4200+ EE,CPU,2006-05-23,154
AMD Phenom II X6 1075T,CPU,2010-09-21,904
Intel Core 2 Quad Q6600 (95W),CPU,2007-07-23,582
Intel Pentium Dual-Core T4300,CPU,2009-04-01,410
Intel Core i5-7500,CPU,2017-01-03,
Intel Celeron G1830,CPU,2013-12-01,1400
Intel Xeon 7130N,CPU,2006-08-27,1328
Intel Xeon Phi 3120A,CPU,2013-06-17,5000
Intel Core i3-4350,CPU,2014-05-01,1400
AMD A10-6700,CPU,2013-06-01,1178
Intel Xeon MP 3.16,CPU,2005-03-29,286
Intel Core 2 Duo E7500,CPU,2009-01-10,228
AMD A10-6700T,CPU,2013-09-16,1178
AMD Athlon XP 1800+,CPU,2001-10-09,37
Intel Xeon E5-2440 v2,CPU,2013-09-01,1400
AMD A9-9410 SoC,CPU,2016-05-31,1200
Intel Core i3-4130T,CPU,2013-09-01,1400
Intel Core i5-4250U,CPU,2013-06-04,1400
AMD Athlon II X2 240,CPU,2009-07-23,410
AMD Opteron 140,CPU,2004-05-18,106
Intel Xeon Gold 5318Y,CPU,2021-04-06,
Intel Celeron G3950,CPU,2017-01-03,
AMD A8-6500,CPU,2013-06-01,1178
Intel Pentium M 745,CPU,2004-05-10,140
AMD Athlon 64 X2 4600+,CPU,2006-05-23,154
AMD Opteron 4376 HE,CPU,2012-12-04,1200
Intel Xeon E5-2640 v2,CPU,2013-09-01,1400
AMD Ryzen 3 1200,CPU,2017-07-27,4800
AMD Phenom II X4 970 BE,CPU,2010-10-01,904
Intel Celeron N2820,CPU,2013-12-01,
Intel Pentium G4560T,CPU,2017-01-03,
Intel Xeon X5660,CPU,2010-03-16,1170
AMD Opteron X2 165,CPU,2005-08-02,233
Intel Core i3-3217UE,CPU,2012-08-01,
AMD Sempron 2800+,CPU,2004-08-01,63
AMD Phenom II X2 B53,CPU,2009-10-01,758
AMD Athlon II X2 255,CPU,2010-01-25,410
Intel Core i3-5005U,CPU,2015-03-01,
Intel Pentium 4 HT 551,CPU,2005-06-12,125
Intel Core i7-3517UE,CPU,2012-06-03,
Intel Xeon E5502,CPU,2009-03-30,731
Intel Celeron G555,CPU,2012-09-01,504
AMD Athlon 64 3300+,CPU,2004-04-27,105
Intel Mobile Pentium 4 2.66,CPU,2003-06-11,55
Intel Core i9-11900T,CPU,2021-03-16,
AMD Opteron 6276,CPU,2011-11-14,2400
AMD Opteron 6278,CPU,2012-05-01,2400
Intel Xeon E5-1620 v2,CPU,2013-09-01,1400
AMD Phenom X4 9750 (95W),CPU,2008-03-27,450
AMD Mobile Athlon 64 2700+,CPU,2005-08-01,106
AMD Phenom X3 8600,CPU,2008-03-27,450
AMD FX-4320,CPU,2012-10-23,1200
AMD Athlon 64 X2 5400+ BE,CPU,2008-02-01,154
Intel Core i3-8109U,CPU,2018-04-05,
Intel Celeron N2807,CPU,2014-02-23,
Intel Core i5-660,CPU,2010-01-07,382
Intel Xeon Bronze 3106,CPU,2017-07-11,8000
Intel Celeron D 350,CPU,2005-06-28,125
AMD Opteron X2 175,CPU,2005-08-02,233
Intel Pentium Gold G6405,CPU,2021-03-16,
Intel Celeron 2.10,CPU,2002-11-20,55
Intel Core i5-11600KF,CPU,2021-03-16,
Intel Xeon Platinum 9222,CPU,2019-04-02,8000
Intel Core i5-2390T,CPU,2011-02-20,504
AMD A6-5400B,CPU,2012-10-02,1178
Intel Core i7-4790K,CPU,2014-05-01,1400
Intel Pentium 4 519,CPU,2004-12-01,125
Intel Pentium III 1000,CPU,2001-07-01,44
AMD Ryzen 7 5800HS,CPU,2021-01-12,9800
AMD Ryzen Threadripper 3970X,CPU,2019-11-25,3800
Intel Pentium 4 HT 524,CPU,2001-01-01,125
AMD Athlon X2 4450e,CPU,2008-04-21,154
Intel Core 2 Extreme QX9650,CPU,2007-11-30,820
Intel Atom D2700,CPU,2011-11-01,176
Intel Xeon Platinum 8353H,CPU,2021-04-06,
AMD Ryzen 5 1600,CPU,2017-04-11,4800
AMD Athlon XP 1600+,CPU,2001-10-09,37
AMD Ryzen Threadripper 3990X,CPU,2020-02-07,3800
Intel Xeon Phi 5120D,CPU,2013-06-17,5000
Intel Atom S1240,CPU,2012-12-11,
AMD Athlon 64 3200+,CPU,2005-04-14,105
Intel Pentium D 950,CPU,2006-01-16,376
AMD Athlon II X4 651,CPU,2011-11-14,1178
Intel Pentium 4 1.6,CPU,2001-07-02,42
Intel Core i5-6600,CPU,2015-07-02,
Intel Xeon E7-4830 v3,CPU,2015-06-01,1400
AMD EPYC 7642,CPU,2019-08-07,3800
AMD Phenom II X4 940 BE,CPU,2009-01-08,758
Intel Xeon E5-2407 v2,CPU,2013-09-01,1400
Intel Core i5-10600KF,CPU,2020-04-30,
AMD Athlon 64 4000+,CPU,2004-10-19,105
Intel Core i5-2467M,CPU,2011-06-01,624
Intel Core 2 Extreme QX6800,CPU,2007-04-09,582
Intel Core i9-9900,CPU,2019-04-23,
AMD Ryzen 7 3700X,CPU,2019-07-07,3800
Intel Core i7-5960X,CPU,2014-09-01,2600
Intel Celeron G540,CPU,2011-09-04,504
Intel Pentium G4400,CPU,2015-09-01,1400
Intel Atom E625CT,CPU,2010-11-22,47
Intel Pentium 4 HT 3.06,CPU,2003-06-01,55
Intel Core i5-7400,CPU,2017-01-03,
Intel Pentium III 1200,CPU,2001-07-01,44
AMD Sempron 3100+,CPU,2001-01-01,69
Intel Xeon X5670,CPU,2010-03-16,1170
AMD Ryzen Threadripper 1920,CPU,2017-07-29,9600
Intel Core i7-2760QM,CPU,2011-09-04,1160
Intel Core i7-920,CPU,2008-11-17,731
Intel Celeron E3200,CPU,2009-08-30,228
Intel Core i5-9500F,CPU,2019-04-23,
Intel Xeon MP 7041 Dual-Core,CPU,2005-12-01,200
Intel Xeon E3-1225,CPU,2011-04-03,1160
Intel Core Solo T1300,CPU,2006-01-05,151
Intel Core i5-3470T,CPU,2012-06-01,
Intel Pentium 4 HT 530,CPU,2004-06-21,125
Intel Pentium 4 HT 650,CPU,2005-02-20,169
Intel Xeon W3565,CPU,2009-11-01,731
Intel Pentium E6300,CPU,2009-05-09,228
Intel Core i3-10105T,CPU,2021-03-16,
AMD Athlon XP 1900+,CPU,2001-01-01,37
AMD A4-1200,CPU,2013-05-23,1178
Intel Xeon 2.4,CPU,2002-04-23,55
AMD Opteron 242,CPU,2003-08-05,106
Intel Celeron D 335,CPU,2004-06-24,125
Intel Xeon E3-1280 v2,CPU,2012-05-14,1400
Intel Core i7-2860QM,CPU,2011-09-04,1160
Intel Xeon E5-2687W v2,CPU,2013-09-01,1400
Intel Core i7-10870H,CPU,2020-09-17,
AMD Athlon 220GE,CPU,2018-12-21,4800
Intel Atom Z610,CPU,2010-05-04,140
Intel Celeron 847,CPU,2011-06-19,504
Intel Xeon X5680,CPU,2010-02-14,1170
Intel Celeron D 352,CPU,2006-05-28,125
Intel Core M-5Y51,CPU,2014-10-27,
Intel Celeron 450,CPU,2008-08-31,105
AMD EPYC 7443,CPU,2021-03-15,
AMD Athlon XP 3000+,CPU,2001-01-01,63
Intel Core i5-8400T,CPU,2018-04-02,
Intel Celeron N2830,CPU,2014-02-23,
AMD Opteron 3320 EE,CPU,2012-12-04,1200
AMD C-30,CPU,2011-01-04,
AMD Ryzen 7 4800HS,CPU,2020-01-06,9800
AMD Turion 64 ML-44,CPU,2006-01-04,114
Intel Celeron B710,CPU,2011-06-19,504
Intel Core i5-10400F,CPU,2020-04-30,
AMD Opteron X2 880,CPU,2005-09-26,233
Intel Core i7-4950HQ,CPU,2013-06-07,1400
Intel Core i3-1120G4,CPU,2020-09-02,
Intel Pentium SU2700,CPU,2009-06-02,410
Intel Pentium D 820,CPU,2005-05-26,169
Intel Atom E640T,CPU,2010-09-14,47
Intel Xeon 5160,CPU,2006-06-26,
AMD Opteron 848 HE,CPU,2005-03-01,106
Intel Core i3-2312M,CPU,2011-09-01,624
AMD Opteron 152,CPU,2005-08-02,106
AMD Athlon XP 2000+,CPU,2002-06-10,37
AMD Opteron X2170,CPU,2016-09-01,
AMD Opteron X2 860 HE,CPU,2005-08-01,233
AMD Phenom II X2 560 BE,CPU,2010-09-21,758
Intel Pentium P6000,CPU,2010-06-20,384
Intel Atom 330,CPU,2008-06-03,47
Intel Pentium 4 505,CPU,2004-12-01,125
Intel Celeron N2940,CPU,2014-05-22,
Intel Pentium 2020M,CPU,2012-09-01,1400
AMD FX-6300,CPU,2012-10-23,1200
AMD Athlon II X2 280,CPU,2013-02-06,410
AMD Opteron 6366 HE,CPU,2012-11-05,2400
Intel Pentium III 1133,CPU,2001-07-01,44
Intel Pentium D 920,CPU,2006-01-16,376
Intel Pentium 4 HT EE 3.73,CPU,2005-02-21,169
Intel Atom Z615,CPU,2010-05-04,140
AMD Opteron A1120,CPU,2016-01-14,
AMD Athlon 64 3200+,CPU,2007-02-20,122
Intel Xeon Platinum 8268,CPU,2018-12-11,8000
Intel Core i5-5350U,CPU,2015-03-01,
Intel Xeon Gold 5318H,CPU,2021-04-06,
Intel Xeon E5530,CPU,2009-03-30,731
Intel Core 2 Extreme QX9770,CPU,2008-03-24,820
AMD Opteron 840 EE,CPU,2004-05-18,106
Intel Atom E660T,CPU,2010-09-14,47
AMD A8-3520M,CPU,2011-12-20,1178
Intel Core i5-8259U,CPU,2018-04-05,
AMD Athlon X2 QL-64,CPU,2008-12-01,
Intel Core i7-620M,CPU,2010-01-07,384
AMD Athlon 64 X2 5600+,CPU,2008-02-01,154
Intel Core i9-11900,CPU,2021-03-16,
AMD Sempron 2800+,CPU,2001-01-01,63
Intel Core i5-3365M,CPU,2012-11-01,
AMD Phenom II X3 720 BE,CPU,2009-02-09,758
