Product,Type,Release Date,Transistors (million)
AMD Athlon 64 3000+,CPU,2005-04-14,105
Intel Xeon E3-1290 v2,CPU,2012-05-14,1400
AMD Phenom X3 8550,CPU,2008-04-23,450
Intel Core i5-8600K,CPU,2017-10-05,
Intel Xeon Platinum 8356H,CPU,2021-04-06,
AMD Athlon XP 2200+,CPU,2002-06-10,37
AMD Athlon Silver PRO 3125GE,CPU,2020-07-21,
Intel Mobile Pentium 4 HT 538,CPU,2004-06-01,125
Intel Core i7-8700,CPU,2018-01-01,
Intel Pentium Dual-Core E2220,CPU,2008-03-02,105
AMD Ryzen 5 4600U,CPU,2020-01-06,9800
AMD Ryzen Threadripper 2970WX,CPU,2018-10-02,19200
AMD Opteron X2 875 HE,CPU,2006-02-01,233
Intel Atom Z605,CPU,2010-05-04,140
Intel Xeon Platinum 8351N,CPU,2021-04-06,
Intel Atom N475,CPU,2010-06-01,123
Intel Core i5-3350P,CPU,2012-09-03,
Intel Xeon E5-1660 v2,CPU,2013-09-01,1400
AMD Sempron 3300+,CPU,2005-07-15,69
AMD Ryzen 5 PRO 2600,CPU,2018-09-19,4800
AMD Phenom X4 9450e,CPU,2008-10-01,450
AMD A4-3420,CPU,2011-12-20,1178
Intel Pentium 4 1.80,CPU,2001-08-27,42
AMD Opteron 248,CPU,2004-12-01,106
Intel Pentium 4 506,CPU,2005-06-01,125
Intel Core i7-3840QM,CPU,2012-09-03,1400
Intel Pentium 4 2.53,CPU,2002-05-06,55
Intel Mobile Pentium 4 2.40,CPU,2003-06-11,55
Intel Xeon Phi 7110P,CPU,2012-11-12,5000
Intel Core i3-7300,CPU,2017-01-03,
Intel Core i7-3520M,CPU,2012-06-03,
AMD Turion 64 MT-30,CPU,2005-03-10,114
AMD Sempron LE-1300,CPU,2007-10-08,
Intel Atom Z625,CPU,2010-05-04,140
Intel Core i5-4200U,CPU,2013-06-04,1400
Intel Pentium E5700,CPU,2010-08-08,228
Intel Core i3-3110M,CPU,2012-06-01,
Intel Pentium G3420T,CPU,2013-09-01,1400
AMD E1-1500,CPU,2013-01-06,
AMD A10-9700E,CPU,2017-07-27,1178
Intel Pentium 4-M 2.00,CPU,2002-06-24,55
Intel Xeon E5620,CPU,2010-03-16,1170
Intel Core i3-3120M,CPU,2012-09-30,
AMD Opteron 6274,CPU,2011-11-14,2400
AMD Ryzen 7 1800X,CPU,2017-03-02,4800
Intel Core i3-3120ME,CPU,2012-08-01,
AMD Ryzen 3 3200U,CPU,2019-01-06,4940
Intel Xeon E-2124G,CPU,2018-05-31,1400
AMD Athlon 700,CPU,2000-06-05,37
AMD Athlon 64 2700+,CPU,2004-04-27,69
AMD Ryzen 7 2700X,CPU,2018-04-19,4800
AMD Ryzen Embedded V1807B,CPU,2018-02-21,4950
AMD Athlon II X3 415e,CPU,2010-05-11,300
Intel Core i5-2310,CPU,2011-05-22,1160
AMD FX-8320,CPU,2012-10-23,1200
Intel Core i7-10700K,CPU,2020-04-30,
AMD Opteron 6386 SE,CPU,2012-11-05,2400
AMD Opteron X2 875,CPU,2005-09-26,233
Intel Celeron 877,CPU,2012-07-01,504
AMD Phenom II X6 1100T BE,CPU,2010-12-07,904
Intel Core i3-5157U,CPU,2015-03-01,
Intel Core i3-4130,CPU,2013-09-01,1400
Intel Core i7-3910K,CPU,2013-07-24,2270
Intel Core i7-3632QM,CPU,2012-10-19,1480
Intel Core i7-8670T,CPU,2018-09-01,
AMD Opteron 144,CPU,2005-08-02,106
Intel Core i7-5650U,CPU,2015-03-01,
Intel Pentium 4 HT 515,CPU,2001-01-01,125
AMD Opteron 242,CPU,2004-05-18,106
Intel Core i5-7600,CPU,2017-01-03,
Intel Xeon 2.8,CPU,2005-10-10,200
Intel Core 2 Duo E7600,CPU,2009-05-10,228
Intel Core i7-9700K,CPU,2018-10-19,
AMD Phenom II X4 910,CPU,2009-02-09,758
AMD EPYC 73F3,CPU,2021-03-15,
AMD Sempron 2500+,CPU,2004-07-28,37
Intel Pentium G3450,CPU,2014-05-01,1400
AMD EPYC 7601,CPU,2017-06-29,4800
Intel Xeon E7-8860 v3,CPU,2015-06-01,1400
Intel Xeon 5140,CPU,2006-06-26,
AMD Phenom X4 9850 BE,CPU,2008-03-27,450
AMD Ryzen 3 3100,CPU,2020-04-24,3800
Intel Core i7-4940MX,CPU,2014-01-20,1400
Intel Core 2 Quad Q6600 (105W),CPU,2007-01-07,582
AMD Athlon 64 FX-62,CPU,2006-05-23,243
AMD Athlon X2 7750 BE,CPU,2008-12-15,450
Intel Core i7-3740QM,CPU,2012-09-03,1400
Intel Core i3-4150T,CPU,2014-05-01,1400
Intel Atom N570,CPU,2011-03-01,176
Intel Core 2 Duo T7300,CPU,2006-07-27,293
Intel Atom E645C,CPU,2010-11-22,47
Intel Core i7-5820K,CPU,2014-09-01,2600
Intel Celeron E3400,CPU,2010-01-17,228
AMD FX-6120,CPU,2012-10-23,1200
Intel Pentium G632,CPU,2011-09-04,504
Intel Pentium 4 HT 531,CPU,2005-06-12,125
AMD Opteron 248 HE,CPU,2005-03-01,106
AMD Opteron X2 290,CPU,2006-01-01,233
Intel Pentium 4 HT 3.20,CPU,2003-06-23,55
AMD Athlon II X4 610e,CPU,2010-05-11,300
Intel Core i3-3110M,CPU,2012-06-01,
Intel Core i7-5550U,CPU,2015-03-01,
AMD Sempron 2800+,CPU,2006-05-23,81
AMD FX-9590,CPU,2013-07-06,1200
Intel Pentium 4 2.0,CPU,2002-01-07,125
AMD EPYC 7443P,CPU,2021-03-15,
Intel Celeron G1620T,CPU,2013-09-01,
AMD Phenom II X6 1055T (95W),CPU,2010-05-01,904
AMD A4-4000,CPU,2013-06-01,1178
AMD Phenom X4 9650,CPU,2008-03-27,450
AMD Athlon XP 2600+,CPU,2003-09-01,63
Intel Core i5-4350U,CPU,2013-06-04,1400
AMD Ryzen Threadripper 1900X,CPU,2017-08-31,9600
Intel Celeron B820,CPU,2012-07-01,504
Intel Xeon W3670,CPU,2010-08-29,1170
Intel Core i7-7740X,CPU,2017-06-26,
Intel Core i7-4610M,CPU,2014-02-01,1300
AMD Opteron 6282 SE,CPU,2011-11-14,2400
Intel Celeron N2805,CPU,2013-09-11,
Intel Pentium 4 HT 631,CPU,2006-01-05,188
Intel Xeon L5609,CPU,2010-03-16,1170
AMD Phenom II X3 715 BE,CPU,2010-10-01,758
Intel Core i5-8420T,CPU,2018-09-01,
AMD Opteron 152,CPU,2005-08-02,106
AMD Sempron 3400+,CPU,2006-01-23,69
Intel Xeon E5603,CPU,2011-02-14,1170
Intel Pentium G2100T,CPU,2012-09-03,
AMD Sempron 2600+,CPU,2004-07-28,63
Intel Pentium 4 HT 660,CPU,2005-02-20,169
AMD Athlon Gold PRO 3150GE,CPU,2020-07-21,
Intel Core i7-10750H,CPU,2020-04-02,
Intel Celeron 887,CPU,2012-09-01,504
AMD A8-3550MX,CPU,2011-12-20,1178
Intel Xeon E-2124,CPU,2018-05-31,1400
AMD Phenom II X4 830,CPU,2009-09-01,758
AMD Athlon II X2 250,CPU,2009-06-02,410
AMD FX-6200,CPU,2012-02-27,1200
AMD Opteron 848,CPU,2004-05-18,106
AMD Phenom X4 9350e,CPU,2008-07-01,450
Intel Pentium B980,CPU,2012-09-01,504
AMD Athlon II X4 635,CPU,2010-01-25,300
Intel Celeron B810,CPU,2011-03-01,504
Intel A100,CPU,2007-06-01,176
AMD Opteron X1150,CPU,2013-05-29,
Intel Core i9-9820X,CPU,2018-10-19,
AMD A12-9800E,CPU,2017-07-27,1178
Intel Xeon Phi SE10P,CPU,2012-11-12,5000
Intel Core 2 Duo E6750,CPU,2007-07-01,291
Intel Core i7-990X,CPU,2011-02-24,1170
Intel Core i5-9400,CPU,2018-10-19,
Intel Core 2 Duo E4300,CPU,2006-07-27,167
AMD A4-1250,CPU,2013-05-23,1178
Intel Pentium 4 HT 2.80,CPU,2003-05-21,55
AMD Ryzen 7 1700X,CPU,2017-03-02,4800
AMD A6-3650,CPU,2011-06-30,1178
AMD Ryzen Embedded V1605B,CPU,2018-02-21,4950
Intel Pentium 4 HT 620,CPU,2005-02-20,169
Intel Core 2 Duo T5600,CPU,2006-07-27,
AMD Athlon 64 LE-1640,CPU,2009-01-07,154
AMD Sempron 2800+,CPU,2004-07-28,63
AMD A10-5800B,CPU,2012-10-02,1178
Intel Core Solo T1200,CPU,2006-01-05,151
Intel Xeon Phi 7285,CPU,2017-12-01,8000
AMD Athlon 64 3800+,CPU,2004-06-01,69
Intel Xeon Phi 31S1P,CPU,2013-06-17,5000
AMD Opteron 144,CPU,2005-08-02,106
Intel Xeon MP 7040 Dual-Core,CPU,2005-12-01,200
Intel Pentium 4 2.80,CPU,2002-08-25,55
AMD Phenom II X2 B57,CPU,2010-05-11,758
Intel Celeron G1840T,CPU,2014-05-01,1400
Intel Core i3-3120M,CPU,2012-09-30,
AMD EPYC 7402,CPU,2019-08-07,3800
Intel Core i7-11700T,CPU,2021-03-16,
Intel Pentium 4 1.9,CPU,2001-08-27,42
AMD Opteron 6284 SE,CPU,2012-05-01,2400
AMD Turion X2 RM-74,CPU,2008-12-01,
AMD Opteron 4340,CPU,2012-12-04,1200
AMD Athlon 64 3700+,CPU,2005-04-14,105
AMD Athlon II X4 638,CPU,2012-02-06,1178
AMD Sempron 3800+,CPU,2006-10-23,81
Intel Pentium 2117U,CPU,2012-09-01,1400
AMD Athlon 800,CPU,2000-06-05,37
Intel Core 2 Quad Q7600,CPU,2009-08-31,456
Intel Xeon E7-8870,CPU,2011-04-03,2600
AMD FX-8350,CPU,2012-10-23,1200
AMD Athlon 64 X2 4400+ EE,CPU,2006-05-23,154
Intel Core 2 Duo T5200,CPU,2006-07-27,
AMD Opteron 4386,CPU,2012-12-04,1200
Intel Xeon W5580,CPU,2009-03-30,731
AMD Athlon X2 BE-2400,CPU,2007-10-08,154
AMD Phenom II X4 920,CPU,2009-01-08,758
Intel Core i3-7350K,CPU,2017-01-03,
AMD Sempron 2500+,CPU,2005-07-07,63
Intel Xeon Phi 7235,CPU,2017-12-01,8000
AMD Sempron 3500+,CPU,2005-10-01,63
AMD Opteron 250,CPU,2004-05-18,106
Intel Xeon MP 7030 Dual-Core,CPU,2005-12-01,200
Intel Core i5-9600K,CPU,2018-10-19,
AMD FX-8170,CPU,2012-10-23,1200
AMD Opteron 850,CPU,2004-12-01,106
Intel Core i5-10300H,CPU,2020-09-17,
Intel Core i7-5557U,CPU,2015-03-01,
Intel Core i7-2860QM,CPU,2011-09-04,1160
Intel Core i7-9750HF,CPU,2019-04-23,
Intel Pentium 350,CPU,2011-11-21,504
AMD Ryzen 5 2600X,CPU,2018-04-19,4800
Intel Core M-5Y70,CPU,2014-09-05,
Intel Pentium 4 HT 2.40,CPU,2003-05-21,55
AMD Ryzen 7 4700U,CPU,2020-01-06,9800
Intel Atom E620T,CPU,2010-09-14,47
AMD Opteron 43GK HE,CPU,2012-12-04,1200
AMD Athlon X2 7450,CPU,2008-12-15,450
Intel Atom E3825,CPU,2013-10-08,
Intel Celeron N2808,CPU,2014-05-22,
AMD Ryzen 5 1500X,CPU,2017-04-11,4800
AMD Athlon 64 X2 4400+,CPU,2006-05-23,233
AMD A4-4300M,CPU,2012-05-15,1303
Intel Core i5-670,CPU,2010-01-07,382
Intel Xeon Platinum 8358,CPU,2021-04-06,
Intel Core 2 Duo U7600,CPU,2007-04-27,293
Intel Core i7-4760HQ,CPU,2014-02-01,1400
Intel Pentium D 940,CPU,2006-01-16,376
AMD Turion 64 MT-37,CPU,2005-08-08,114
Intel Core i5-4300M,CPU,2013-09-01,1400
Intel Core i7-3635QM,CPU,2012-09-01,1480
AMD Opteron 6376,CPU,2012-11-05,2400
AMD EPYC 72F3,CPU,2021-03-15,
AMD Opteron 244,CPU,2003-08-05,106
Intel Core i5-3330S,CPU,2012-09-03,
Intel Xeon Platinum 8352S,CPU,2021-04-06,
Intel Pentium 4 2.40,CPU,2004-03-01,125
Intel Xeon MP 3.00,CPU,2005-03-29,286
Intel Xeon E5-2695 v2,CPU,2013-09-01,1400
Intel Pentium M 725,CPU,2004-06-23,140
AMD Sempron 2800+,CPU,2005-07-15,69
Intel Xeon 5110,CPU,2006-06-26,
AMD A4-3320M,CPU,2011-12-20,1178
Intel Mobile Pentium 4 2.80,CPU,2003-06-11,55
Intel Core i7-4960X,CPU,2013-09-03,1860
Intel Core i3-9350K,CPU,2019-04-23,
AMD Athlon II X2 250e,CPU,2010-09-21,410
AMD Athlon 64 X2 6000+,CPU,2007-08-20,154
AMD Athlon 64 LE-1620,CPU,2007-10-08,227
Intel Celeron 2.40,CPU,2003-03-31,55
AMD EPYC 7232P,CPU,2019-08-07,3800
Intel Atom CE4150,CPU,2009-09-24,47
AMD Athlon II X2 220,CPU,2010-09-21,410
AMD Opteron 4334,CPU,2012-12-04,1200
Intel Core i9-9940X,CPU,2018-10-19,
Intel Core 2 Quad Q9400,CPU,2008-08-10,456
Intel Xeon E7-8891 v3,CPU,2015-06-01,1400
Intel Pentium 967,CPU,2011-10-02,504
Intel Core i9-9990XE,CPU,2018-10-19,
Intel Core i7-1160G7,CPU,2020-09-02,
AMD Athlon 900,CPU,2000-06-05,37
Intel Celeron G460,CPU,2011-12-12,504
Intel Core i7-6700T,CPU,2015-09-01,
AMD FX-6350,CPU,2013-04-29,1200
Intel Celeron G3900,CPU,2015-09-01,1400
Intel Pentium G850,CPU,2011-05-22,504
AMD EPYC 7742,CPU,2019-08-07,3800
Intel Core i7-4810MQ,CPU,2014-01-20,1400
Intel Core i9-9920X,CPU,2018-10-19,
Intel Core 2 Duo E8600,CPU,2008-08-08,410
AMD Sempron LE-1150,CPU,2007-08-01,
AMD Phenom II X6 1090T BE,CPU,2010-04-27,904
Intel Xeon 7130M,CPU,2006-08-27,1328
Intel Core i3-4160T,CPU,2014-07-21,1400
AMD Sempron 130,CPU,2011-08-01,234
Intel Atom N470,CPU,2010-03-01,123
AMD Sempron 3100+,CPU,2005-05-03,63
Intel Core Duo LV L2500,CPU,2006-09-03,151
AMD Sempron 2300+,CPU,2004-07-28,37
AMD A10-5700,CPU,2012-10-02,1178
AMD A4-1350,CPU,2013-10-18,1178
Intel Pentium III 1000,CPU,2001-06-01,44
Intel Core i3-10100,CPU,2020-04-30,
Intel Atom Z530,CPU,2008-04-02,47
Intel Xeon W3580,CPU,2009-08-09,731
Intel Core i5-9600KF,CPU,2019-01-08,
AMD Athlon 64 3800+,CPU,2006-05-23,154
AMD Opteron 250,CPU,2004-12-01,106
AMD Athlon 64 X2 4600+ EE,CPU,2006-05-23,154
Intel Core i5-2435M,CPU,2011-09-01,624
AMD Athlon XP 2200+,CPU,2003-09-01,63
AMD Athlon 1200,CPU,2000-10-17,37
Intel Pentium III  800,CPU,2001-06-01,44
AMD Athlon XP-M 2200+,CPU,2001-01-01,63
Intel Pentium 4-M 1.40,CPU,2002-04-23,55
Intel Core i3-2377M,CPU,2012-09-01,624
Intel Atom D510,CPU,2009-12-21,176
Intel Core i7-5775C,CPU,2015-05-15,
Intel Core Duo T2250,CPU,2006-05-01,151
Intel Atom N455,CPU,2010-06-01,123
Intel Core i7-10510Y,CPU,2019-08-21,
Intel Pentium D 840,CPU,2005-05-26,169
Intel Xeon E5-2609 v2,CPU,2013-09-01,1400
Intel Core 2 Duo E4600,CPU,2007-10-21,167
Intel Xeon E7-8893 v3,CPU,2015-06-01,1400
Intel Core i7-620M,CPU,2010-01-07,384
AMD Phenom II X3 B75,CPU,2009-10-01,758
AMD Athlon 64 3000+,CPU,2004-04-27,69
AMD Athlon 64 3200+,CPU,2001-01-01,105
Intel Xeon 3.06,CPU,2003-07-14,286
Intel Pentium 4 HT 520,CPU,2004-06-21,125
AMD Athlon 64 FX-51,CPU,2003-09-23,105
Intel Xeon E3-1280 v5,CPU,2015-10-19,1400
AMD Athlon II X3 455,CPU,2010-12-07,300
Intel Pentium 4 2.0,CPU,2001-01-01,55
AMD Ryzen 7 2700,CPU,2018-04-19,4800
Intel Core i7-9700KF,CPU,2019-01-08,
Intel Celeron 2.30,CPU,2003-03-31,55
